triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cHW_cHS_AGG,0,9,0,1,3,3,4,9.71,0,0,,,
cHW_cHS_AUA,0,4,0,1,3,3,3,30.3,37.04,76.92,,,
cHW_cHS_AUC,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHS_AUG,2,0,0,1,3,3,3,0,0,0,,,
cHW_cHS_AUU,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHS_CCA,0,8,0,1,2,2,2,20.62,0,0,,,
cHW_cHS_CCC,0,9,0,1,2,2,3,84.21,76.92,55.56,,,
cHW_cHS_CCG,0,0,0,1,1,2,2,0,0,0,,,
cHW_cHS_CCU,0,0,0,1,2,2,3,0,0,0,,,
cHW_cHS_GAA,0,7,0,1,2,3,5,9.71,11.76,23.26,,,
cHW_cHS_GAC,0,1,0,1,2,2,3,10,12.05,24.39,,,
cHW_cHS_GAG,0,9,0,1,2,3,5,86.54,23.26,45.45,,,
cHW_cHS_GAU,0,1,0,1,2,3,4,10,12.2,25,,,
cHW_cHS_GCA,3,1,1,1,2,2,4,10,12.05,0,,,
cHW_cHS_GCC,0,2,0,1,2,2,2,20.2,24.69,51.28,,,
cHW_cHS_GCG,0,0,0,1,2,3,4,0,0,0,,,
cHW_cHS_GCU,0,4,0,1,2,2,3,20.41,12.5,0,,,
cHW_cHS_GGA,0,2,0,1,2,4,4,9.71,0,0,,,
cHW_cHS_GGG,0,2,0,1,3,3,3,0,0,0,,,
cHW_cHS_GUA,0,1,0,1,1,1,3,10,12.2,25,,,
cHW_cHS_GUC,0,14,0,1,1,1,2,132.65,112.5,0,,,
cHW_cHS_GUG,0,2,0,1,2,2,4,0,0,0,,,
cHW_cHS_GUU,0,1,0,1,1,1,3,0,0,0,,,
cHW_cHS_UAA,0,6,0,1,2,3,4,0,0,0,,,
cHW_cHS_UAC,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHS_UAG,0,8,0,1,2,3,4,80,12.2,25,,,
cHW_cHS_UAU,0,0,0,1,2,3,3,0,0,0,,,
cHW_cHS_UCA,0,17,0,1,2,2,3,0,0,0,,,
cHW_cHS_UCC,0,13,0,1,2,0,2,75.27,77.92,57.14,,,
cHW_cHS_UCG,0,0,0,1,1,2,2,0,0,0,,,
cHW_cHS_UCU,0,4,0,1,2,2,2,0,0,0,,,
cHW_cHS_UUA,0,0,0,1,1,1,1,0,0,0,,,
cHW_cHS_UUC,0,6,0,1,1,1,1,63.83,0,0,,,
cHW_cHS_UUG,0,2,0,1,2,2,2,0,0,0,,,
cHW_cHS_UUU,0,2,0,1,1,1,1,0,0,0,,,
cHW_cHW_AGA,0,1,0,1,3,3,3,9.71,11.76,23.26,,,
cHW_cHW_AGC,0,0,0,1,3,3,4,0,0,0,,,
cHW_cHW_AGG,0,0,0,1,5,5,5,0,0,0,,,
cHW_cHW_AGU,0,6,0,1,3,3,3,50,0,0,,,
cHW_cHW_AUA,0,0,0,1,3,3,3,0,0,0,,,
cHW_cHW_AUC,0,0,0,1,3,3,3,0,0,0,,,
cHW_cHW_AUU,0,0,0,1,4,4,4,0,0,0,,,
cHW_cHW_CCC,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHW_GAG,0,1,0,1,3,3,5,9.62,11.63,22.73,,,
cHW_cHW_GAU,0,2,0,1,3,3,4,20,12.2,25,,,
cHW_cHW_GCC,0,0,0,1,2,2,3,0,0,0,,,
cHW_cHW_GGA,0,1,0,1,3,3,3,9.62,11.63,22.73,,,
cHW_cHW_GGC,0,0,0,1,3,3,4,0,0,0,,,
cHW_cHW_GGG,19,0,0,1,4,4,4,0,0,0,,,
cHW_cHW_GGU,0,11,0,1,3,3,3,118.81,0,0,,,
cHW_cHW_GUA,0,0,0,1,2,2,4,0,0,0,,,
cHW_cHW_GUC,0,0,0,1,2,2,4,0,0,0,,,
cHW_cHW_GUU,0,0,0,1,2,2,4,0,0,0,,,
cHW_cHW_UAG,0,0,0,1,3,3,4,0,0,0,,,
cHW_cHW_UAU,0,1,0,1,3,3,3,10.42,0,0,,,
cHW_cHW_UCC,0,0,0,1,2,2,2,0,0,0,,,
